# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
2530 0.0558123 -0.244232 -0.00859164 -0.197012
2535 0.0489232 -0.259977 0.0131454 -0.197909
2540 0.0293185 -0.270356 0.03014 -0.210898
2545 -0.00194163 -0.273862 0.0384936 -0.23731
2550 -0.0429606 -0.269271 0.0354673 -0.276765
2555 -0.0910015 -0.256001 0.0198516 -0.327151
2560 -0.142768 -0.234485 -0.0081065 -0.385359
2565 -0.194556 -0.206233 -0.0470581 -0.447847
2570 -0.242649 -0.173476 -0.094931 -0.511056
2575 -0.28363 -0.138471 -0.14919 -0.571292
2580 -0.314117 -0.103313 -0.206557 -0.623987
2585 -0.331179 -0.0696472 -0.263231 -0.664057
2590 -0.332955 -0.0384407 -0.31514 -0.686536
2595 -0.319069 -0.0100657 -0.3584 -0.687534
2600 -0.290512 0.0156906 -0.389768 -0.66459
2605 -0.249718 0.0395292 -0.406943 -0.617132
2610 -0.20053 0.06244 -0.409083 -0.547173
2615 -0.146952 0.0851163 -0.396476 -0.458311
2620 -0.0923003 0.107946 -0.369945 -0.3543
2625 -0.0388474 0.130902 -0.330673 -0.238619
2630 0.0122408 0.153518 -0.279609 -0.11385
2635 0.060248 0.175277 -0.217233 0.0182918
2640 0.104034 0.195558 -0.144017 0.155575
2645 0.141944 0.213674 -0.0613347 0.294283
2650 0.17175 0.229301 0.0282894 0.429341
2655 0.191159 0.24221 0.121013 0.554381
2660 0.19854 0.251464 0.212217 0.662221
2665 0.193569 0.255306 0.296695 0.74557
2670 0.177225 0.251406 0.369654 0.798285
2675 0.151961 0.237649 0.426929 0.816539
2680 0.121632 0.212899 0.465385 0.799916
2685 0.0909378 0.177507 0.48321 0.751655
2690 0.0642015 0.133473 0.479814 0.677488
2695 0.0443974 0.083605 0.455687 0.583689
2700 0.0326682 0.0308922 0.412863 0.476423
2705 0.0286374 -0.0222665 0.354499 0.36087
2710 0.0307446 -0.0743986 0.283898 0.240244
2715 0.0367821 -0.124052 0.204745 0.117475
2720 0.0442465 -0.169503 0.121022 -0.00423424
2725 0.0509729 -0.20887 0.0366641 -0.121233
2730 0.0553438 -0.240283 -0.0441105 -0.22905
2735 0.0559892 -0.262004 -0.117226 -0.323241
2740 0.0517297 -0.272349 -0.179124 -0.399743
2745 0.0416054 -0.270584 -0.2274 -0.456378
2750 0.0247527 -0.256762 -0.261453 -0.493462
2755 0.000956497 -0.231399 -0.282104 -0.512547
2760 -0.02878 -0.195407 -0.290754 -0.514941
2765 -0.0628267 -0.150622 -0.289058 -0.502507
2770 -0.0991072 -0.100071 -0.278769 -0.477947
2775 -0.13543 -0.0472005 -0.261439 -0.44407
2780 -0.169584 0.0048583 -0.238382 -0.403108
2785 -0.198977 0.053414 -0.21097 -0.356534
2790 -0.220897 0.0962436 -0.180743 -0.305396
2795 -0.233248 0.131049 -0.149147 -0.251346
2800 -0.23516 0.155116 -0.118002 -0.198046
2805 -0.226679 0.166123 -0.0894323 -0.149989
2810 -0.208613 0.162433 -0.0654663 -0.111646
2815 -0.182667 0.143329 -0.0476506 -0.0869889
2820 -0.150889 0.110199 -0.0369276 -0.0776173
2825 -0.115302 0.0667249 -0.0331157 -0.0816931
2830 -0.0778047 0.0182706 -0.0349321 -0.0944662
2835 -0.0398538 -0.0290222 -0.0399331 -0.108809
2840 -0.00286544 -0.0692854 -0.0455367 -0.117688
2845 0.0314841 -0.0976858 -0.0496485 -0.11585
2850 0.061416 -0.111136 -0.0513731 -0.101093
2855 0.0852889 -0.108529 -0.0508874 -0.0741271
2860 0.102004 -0.0907503 -0.0487629 -0.0375089
2865 0.111085 -0.0600072 -0.0457648 0.00531292
2870 0.113338 -0.0195659 -0.0428501 0.0509221
2875 0.110781 0.0265723 -0.0407212 0.0966322
2880 0.106248 0.0740622 -0.039556 0.140754
2885 0.102942 0.118886 -0.0385256 0.183302
2890 0.103412 0.157416 -0.0365121 0.224316
2895 0.10903 0.185981 -0.0327859 0.262225
2900 0.120132 0.201495 -0.0271189 0.294508
2905 0.136228 0.202196 -0.0193627 0.319061
2910 0.156251 0.187482 -0.00902186 0.334711
2915 0.178396 0.158275 0.00414301 0.340813
2920 0.200487 0.117094 0.0202787 0.33786
2925 0.220266 0.0674138 0.0395064 0.327186
2930 0.235522 0.0131119 0.0615936 0.310227
2935 0.243903 -0.0423401 0.0853351 0.286898
2940 0.242979 -0.0955647 0.108554 0.255968
2945 0.230868 -0.143552 0.128731 0.216048
2950 0.206421 -0.183888 0.143742 0.166275
2955 0.168911 -0.214951 0.151771 0.105731
2960 0.118291 -0.235507 0.151488 0.0342713
2965 0.0554552 -0.244929 0.14254 -0.0469338
2970 -0.0171553 -0.24339 0.125671 -0.134874
2975 -0.0958202 -0.231945 0.102757 -0.225008
2980 -0.175716 -0.212119 0.0762672 -0.311568
2985 -0.251714 -0.185954 0.0485257 -0.389142
2990 -0.31893 -0.155435 0.0216867 -0.452679
2995 -0.37314 -0.122366 -0.00237802 -0.497884
3000 -0.411025 -0.0881259 -0.0225825 -0.521734
3005 -0.429926 -0.0539054 -0.0387082 -0.522539
